y	x
45	1755.400
251	1759.800
361	1759.900
20	1760.600
295	1762.300
369	1762.300
115	1763.500
77	1764.000
159	1765.800
251	1770.900
91	1771.200
369	1773.200
168	1776.000
224	1776.000
295	1776.200
20	1781.800
280	1782.000
251	1784.400
369	1784.900
159	1786.100
91	1786.500
224	1786.500
45	1792.400
295	1792.600
20	1799.500
155	1801.000
195	1801.100
369	1802.600
159	1802.900
375	1803.200
91	1804.200
394	1804.400
123	1804.700
224	1805.900
287	1806.300
364	1809.000
323	1810.300
159	1816.400
295	1816.700
91	1817.000
20	1824.100
57	1824.600
91	1825.300
168	1825.500
251	1825.900
208	1826.400
26	1830.100
123	1833.100
91	1834.700
320	1835.800
394	1835.900
368	1836.000
350	1836.900
299	1837.400
159	1838.300
215	1839.000
287	1851.100
243	1853.300
215	1854.100
57	1855.800
91	1856.200
394	1856.300
90	1857.600
314	1859.100
124	1861.100
159	1861.300
211	1863.200
287	1865.200
25	1866.200
63	1866.500
364	1866.800
243	1867.000
57	1870.800
159	1873.200
168	1873.900
319	1874.800
135	1876.000
350	1878.200
91	1879.000
243	1879.600
314	1882.000
319	1886.100
135	1887.200
350	1890.200
314	1891.300
243	1894.700
401	1894.900
159	1895.800
306	1896.700
135	1899.300
57	1899.900
211	1901.200
144	1901.600
401	1904.300
314	1904.600
306	1907.000
26	1907.100
90	1912.400
401	1913.100
144	1913.500
314	1916.300
256	1917.800
210	1918.600
237	1918.700
306	1922.800
34	1923.500
144	1930.900
350	1931.600
390	1931.800
47	1932.700
91	1933.600
89	1933.700
222	1933.800
159	1934.200
37	1934.700
306	1935.000
138	1935.300
401	1938.200
322	1939.900
144	1947.900
229	1948.500
213	1948.600
37	1949.700
297	1950.400
350	1953.600
306	1957.400
37	1963.200
229	1963.800
67	1964.400
159	1967.400
24	1967.900
350	1968.100
223	1969.100
113	1969.200
173	1969.700
297	1969.900
362	1980.300
401	1981.200
229	1981.300
350	1982.000
297	1982.100
306	1982.100
37	1984.100
142	1988.700
102	1989.200
166	1989.200
28	1989.700
350	1996.900
306	1997.300
229	1997.700
146	1998.400
13	1999.700
28	1999.700
136	2000.700
112	2000.800
173	2001.400
113	2002.400
37	2002.700
215	2002.900
281	2008.300
360	2010.100
306	2011.200
335	2013.700
281	2021.000
146	2021.200
23	2022.300
335	2022.900
81	2023.500
306	2025.400
28	2026.400
47	2026.800
350	2027.900
281	2033.300
250	2033.400
178	2037.000
214	2037.000
36	2038.600
130	2043.900
31	2045.600
306	2046.800
379	2047.300
250	2047.900
122	2055.100
350	2056.500
31	2057.000
379	2057.400
185	2057.800
177	2062.200
158	2062.800
22	2063.000
306	2063.800
277	2065.300
281	2067.300
185	2067.800
350	2070.700
379	2071.200
250	2071.300
130	2072.100
153	2072.800
233	2073.700
36	2075.100
47	2075.300
56	2076.600
185	2080.800
350	2082.200
122	2084.900
281	2090.100
314	2090.800
185	2091.200
277	2091.700
379	2092.300
122	2095.900
350	2096.600
48	2098.300
153	2099.600
175	2100.300
345	2101.000
379	2103.100
48	2112.500
12	2113.200
98	2113.600
13	2114.700
247	2116.000
148	2116.300
379	2116.300
209	2116.900
147	2119.400
345	2119.900
277	2122.800
98	2123.100
218	2124.200
122	2133.800
48	2133.900
173	2135.000
345	2137.800
98	2138.000
113	2138.100
379	2139.100
312	2140.700
242	2141.200
272	2141.800
12	2149.800
345	2149.900
242	2152.500
48	2153.600
43	2154.400
379	2154.900
277	2157.200
173	2161.400
268	2163.700
345	2164.000
186	2165.300
167	2165.400
48	2165.800
379	2165.900
395	2167.300
177	2171.800
141	2173.100
345	2177.900
395	2180.200
48	2180.500
74	2180.500
273	2184.100
261	2185.700
312	2187.000
141	2188.700
177	2188.900
345	2189.500
74	2194.200
148	2194.800
48	2194.900
395	2195.400
360	2199.300
281	2199.800
38	2203.000
141	2203.600
268	2204.000
48	2206.600
345	2208.500
191	2208.700
360	2212.400
141	2213.400
281	2214.000
48	2214.800
268	2216.400
174	2219.800
274	2224.100
48	2224.400
345	2226.300
360	2227.100
168	2227.200
394	2227.500
141	2230.200
48	2234.300
360	2235.800
268	2235.900
277	2242.100
168	2242.400
54	2244.300
17	2245.700
311	2246.000
360	2246.300
331	2246.700
242	2247.400
122	2247.900
140	2248.400
141	2248.400
48	2248.500
135	2250.700
345	2251.900
277	2258.500
243	2258.600
48	2261.400
211	2264.600
54	2267.400
243	2269.100
277	2270.200
48	2271.700
23	2274.400
42	2275.400
126	2277.700
194	2278.500
373	2281.500
365	2282.000
334	2282.300
349	2282.300
48	2284.600
377	2288.600
243	2288.800
247	2291.800
160	2293.600
58	2293.800
194	2293.800
157	2294.200
54	2301.800
272	2305.400
148	2308.500
149	2310.100
328	2311.100
257	2312.000
23	2312.600
242	2312.800
381	2313.700
247	2313.900
54	2314.300
257	2322.900
70	2323.200
122	2324.600
38	2331.800
58	2331.800
158	2332.800
137	2333.000
257	2333.700
293	2334.700
344	2334.900
328	2335.500
149	2335.600
386	2336.500
391	2336.500
247	2338.200
390	2338.700
149	2347.000
340	2349.300
257	2350.800
164	2350.900
247	2351.400
163	2351.600
93	2357.700
43	2358.000
72	2360.100
391	2360.500
39	2365.900
247	2366.100
38	2367.400
212	2369.900
63	2370.100
357	2370.300
261	2370.900
43	2371.300
325	2376.400
149	2379.600
159	2379.900
160	2380.700
139	2380.800
257	2381.500
261	2381.800
313	2382.400
247	2386.400
212	2387.400
325	2391.300
391	2395.000
388	2395.400
47	2395.500
10	2396.300
381	2396.400
357	2397.300
72	2397.700
149	2401.400
237	2404.900
261	2405.800
305	2411.400
273	2414.400
381	2415.000
118	2416.200
63	2416.300
57	2416.400
134	2417.100
56	2417.700
145	2420.400
261	2421.400
214	2430.200
249	2434.000
352	2434.200
89	2434.400
305	2434.700
371	2435.200
9	2435.600
63	2436.300
327	2436.300
261	2437.800
296	2442.700
177	2447.800
380	2448.200
89	2448.600
171	2452.300
145	2452.500
187	2453.600
114	2454.900
62	2458.400
396	2459.000
380	2461.700
241	2466.100
177	2469.600
348	2470.800
396	2472.300
312	2473.900
295	2474.300
380	2474.500
249	2476.100
64	2476.400
187	2477.600
47	2478.600
241	2478.700
71	2482.300
94	2482.900
380	2485.100
348	2488.000
58	2492.200
241	2494.200
380	2494.500
